2025-10-21->00:05 | 00:05:01  
2025-10-21->00:05 | 00:05:18 ...
2025-10-21->00:05 | 00:05:18 ... no existen archivos para procesar.
2025-10-21->00:15 | 00:15:01  
2025-10-21->00:15 | 00:15:01 Inicio de Verificación y Descarga de Archivos
2025-10-21->00:15 | 00:15:01 ---------------------------------------------
2025-10-21->00:15 | 00:15:01 ...
2025-10-21->00:15 | 00:15:01 ... validando conexion servidor SFTP : 192.168.10.51
2025-10-21->00:15 | 00:15:02 ...... conexión OK.
2025-10-21->00:15 | 00:15:02 ... 
2025-10-21->00:15 | 00:15:02 ... verificando en servidor sftp existencia de archivos a procesar
2025-10-21->00:15 | 00:15:02 ... 
2025-10-21->00:15 | 00:15:02 ...... buscando en directorio 0002 - BCP
2025-10-21->00:15 | 00:15:03 ......... sin archivos a procesar.
2025-10-21->00:15 | 00:15:03 ...... buscando en directorio 0003 - Interbank
2025-10-21->00:15 | 00:15:03 ......... sin archivos a procesar.
2025-10-21->00:15 | 00:15:03 ...... buscando en directorio 0004 - Simulador-CCE1
2025-10-21->00:15 | 00:15:03 ......... sin archivos a procesar.
2025-10-21->00:15 | 00:15:03 ...... buscando en directorio 0005 - Simulador-CCE2
2025-10-21->00:15 | 00:15:04 ......... sin archivos a procesar.
2025-10-21->00:15 | 00:15:04 ...... buscando en directorio 0007 - Citibank
2025-10-21->00:15 | 00:15:04 ......... sin archivos a procesar.
2025-10-21->00:15 | 00:15:04 ...... buscando en directorio 0009 - Scotiabank
2025-10-21->00:15 | 00:15:05 ......... sin archivos a procesar.
2025-10-21->00:15 | 00:15:05 ...... buscando en directorio 0011 - BBVA
2025-10-21->00:15 | 00:15:05 ...... buscando en directorio 0018 - BN
2025-10-21->00:15 | 00:15:06 ......... sin archivos a procesar.
2025-10-21->00:15 | 00:15:06 ...... buscando en directorio 0023 - Comercio
2025-10-21->00:15 | 00:15:06 ......... sin archivos a procesar.
2025-10-21->00:15 | 00:15:06 ...... buscando en directorio 0035 - Pichincha
2025-10-21->00:15 | 00:15:06 ......... sin archivos a procesar.
2025-10-21->00:15 | 00:15:06 ...... buscando en directorio 0038 - Banbif
2025-10-21->00:15 | 00:15:07 ......... sin archivos a procesar.
2025-10-21->00:15 | 00:15:07 ...... buscando en directorio 0043 - Crediscotia
